distance,depth,length,width
3618.41,10,9,15
3618.61,10,9,15
3618.93,12,11,33
3619.22,11,9,15
3619.31,11,14,15
3619.38,11,11,15
3619.39,11,17,35
3619.45,12,12,16
3619.51,10,8,15
3620.04,11,11,16
3620.20,12,10,15
3620.30,13,25,34
3620.33,11,11,15
3620.44,14,10,15
3620.53,11,11,17
3620.59,10,10,15
3620.64,11,12,16
3621.08,10,12,15
3621.49,11,11,15
3621.88,11,10,15
3621.99,11,13,29
3622.55,18,15,15
3622.89,11,10,15
3623.07,15,13,15
3623.17,10,34,15
3623.22,13,10,15
3623.28,10,12,15
3623.32,10,11,15
3623.74,10,9,15
3623.78,10,9,15
3623.86,10,14,15
3624.15,10,11,16
3624.26,11,11,27
3624.69,12,11,15
3625.07,11,12,15
3625.44,12,9,15
3625.53,15,13,29
3625.56,11,11,16
3625.93,13,9,15
3626.02,10,11,15
3626.11,11,9,15
3626.18,12,15,34
3626.96,11,12,15
3629.00,10,11,19
3629.47,10,8,15
3629.66,10,10,15
3630.04,14,12,15
3633.28,10,13,15
3634.32,10,25,15
3634.87,10,23,15
3634.94,12,29,33
3635.71,11,22,15
3636.14,12,10,15
3636.76,14,17,32
3637.62,12,17,32
3637.88,16,10,16
3638.13,15,17,34
3638.34,16,13,17
3638.60,11,17,15
3638.66,11,21,37
3639.19,12,10,33
3639.22,14,9,15
3639.37,14,12,32
3641.89,17,14,15
3642.05,10,9,15
3643.36,10,14,15
3644.18,14,11,15
3644.28,12,13,15
3644.77,10,10,15
3644.94,12,9,15
3647.25,12,11,15
3650.03,10,12,15
3651.25,11,9,15
3998.43,10,10,29
4000.50,11,10,15
4000.67,15,11,34
4000.93,11,11,15
4001.07,10,10,15
4001.66,16,11,15
4003.02,12,14,35
4003.05,12,12,15
4003.14,11,13,16
4003.27,10,12,15
4003.35,16,8,15
4003.37,10,10,15
4003.38,11,9,15
4003.45,15,10,15
4006.05,10,12,15
4014.76,10,12,15
4014.96,10,12,16
4014.99,10,9,15
4015.29,11,16,33
4015.35,16,19,34
4016.01,12,34,28
4029.28,11,12,16
4029.70,11,13,15
4030.52,13,11,26
4031.69,10,10,15
4032.12,13,10,15
4032.14,14,17,15
4032.24,10,11,21
4032.78,10,17,21
4033.92,10,17,15
4034.00,11,14,15
4034.12,10,12,15
4034.37,11,12,18
4035.00,13,14,19
4035.67,10,16,17
4036.50,13,11,15
4036.91,10,13,15
4037.39,10,9,15
4037.43,18,11,15
4037.47,11,14,28
4037.47,11,11,15
4037.58,12,11,15
4037.63,11,13,15
4037.66,16,17,31
4037.68,11,9,15
4037.75,10,10,15
4037.82,12,17,28
4037.83,12,14,15
4037.88,10,21,15
4037.88,11,12,15
4037.94,11,13,25
4044.84,10,8,15
4062.56,10,12,15
4062.88,10,9,15
4063.72,11,15,15
4066.91,11,10,15
4071.05,12,9,15
4071.42,13,11,16
4072.19,10,12,30
4073.38,13,9,15
4073.78,12,16,36
4073.88,13,12,31
4073.89,15,18,32
4073.95,10,10,15
4074.06,16,11,15
4074.11,10,15,15
4074.23,14,13,15
4074.48,12,14,34
4074.89,10,14,19
4075.56,13,13,15
4075.63,12,16,15
4075.65,12,17,15
4075.72,11,19,15
4075.76,10,10,18
4075.83,10,12,21
4075.88,14,9,15
4075.89,10,12,15
4075.93,14,12,15
4076.04,18,18,37
4076.09,11,14,15
4076.13,16,34,37
4076.15,10,9,15
4076.30,11,11,15
4076.33,11,12,15
4076.71,14,13,15
4090.61,11,12,15
4094.57,11,11,16
4100.02,13,14,16
4100.09,12,9,15
4100.10,14,12,19
4100.17,12,17,28
4100.17,14,28,56
4100.30,10,8,15
4100.31,12,17,30
4100.31,14,10,15
4100.50,12,15,28
4100.74,11,11,15
4101.12,11,9,15
4102.23,10,16,15
4102.65,12,11,20
4102.93,11,12,15
4102.94,10,12,15
4104.41,10,9,15
4106.64,10,10,15
4107.15,12,13,15
4107.76,11,11,15
4110.60,11,14,18
4112.43,11,12,15
4112.47,11,8,15
4112.57,13,16,15
4112.74,12,25,41
4112.94,11,20,30
4114.05,13,21,35
4114.21,11,14,15
4114.42,14,21,31
4114.74,10,12,15
4114.78,10,11,15
4115.24,10,9,15
4115.53,10,16,31
4115.61,10,9,15
4125.99,10,12,16
4128.31,10,13,15
4128.46,11,12,15
4128.46,10,12,15
4131.23,10,14,15
4133.72,12,15,15
4134.40,10,15,15
4134.63,10,12,16
4134.82,12,15,28
4134.92,12,11,15
4135.12,11,12,16
4138.03,10,11,15
4138.86,11,10,15
4140.74,10,13,15
4140.97,10,20,15
4141.41,10,9,15
4142.04,14,13,19
4142.06,10,12,18
4142.22,10,9,22
4142.23,11,12,15
4142.40,13,9,15
4142.48,11,11,15
4142.96,10,15,21
4143.02,11,14,23
4143.28,11,11,15
4143.49,10,11,15
4143.77,10,12,15
4143.78,10,12,15
4143.79,11,12,15
4143.83,11,12,15
4143.88,12,16,15
4143.89,15,10,16
4144.02,11,11,15
4144.25,10,12,15
4144.64,11,11,15
4145.27,10,15,15
4145.28,11,11,15
4145.51,11,12,15
4145.57,13,12,15
4145.58,12,12,18
4145.58,10,11,15
4146.00,11,13,15
4146.02,10,18,17
4146.26,10,9,15
4146.86,11,14,15
4163.35,10,19,16
4163.61,11,10,15
4163.79,10,10,15
4164.73,10,10,16
4165.73,10,15,29
4166.16,11,9,15
4166.85,10,10,15
4167.33,12,14,15
4167.76,10,14,15
4169.07,10,17,15
4169.60,10,10,15
4169.84,11,17,16
4169.94,10,11,15
4170.30,12,11,15
4170.54,10,13,15
4170.60,10,13,15
4171.42,11,16,19
4171.43,13,15,15
4172.52,10,17,15
4172.67,10,15,17
4174.31,10,13,18
4177.31,10,15,15
4177.48,10,14,18
4177.82,10,10,15
4178.06,10,21,15
4181.69,13,17,15
4181.87,10,9,15
4182.03,12,26,31
4182.06,10,12,15
4182.06,12,11,15
4182.12,11,9,15
4182.13,10,11,15
4182.20,13,18,29
4182.35,10,11,15
4182.40,13,10,15
4182.45,10,11,15
4182.46,10,22,15
4182.50,11,22,41
4182.56,15,14,22
4182.56,11,16,31
4182.56,17,20,31
4182.58,11,13,15
4182.62,12,15,25
4182.68,10,13,15
4182.70,13,23,32
4182.78,12,12,15
4182.84,10,11,15
4182.89,10,15,18
4182.92,10,11,15
4182.93,10,14,15
4187.85,11,23,15
4188.76,11,11,15
4192.88,10,11,15
4193.30,10,24,27
4193.47,10,10,15
4194.52,11,15,15
4194.63,10,12,19
4195.06,10,11,16
4202.77,11,13,15
4203.79,10,13,15
4204.20,10,11,15
4205.12,10,18,15
4210.89,12,11,15
4210.96,14,14,16
4215.12,11,21,24
4217.15,10,11,15
4217.90,10,10,19
4218.11,11,12,15
4218.99,13,13,17
4219.30,11,18,23
4219.92,10,15,15
4221.93,12,12,15
4229.88,10,11,16
4230.81,12,12,15
4233.94,10,11,15
4257.27,15,14,15
4257.65,10,20,15
4257.75,11,10,16
4258.31,11,11,15
4258.64,15,17,34
4258.68,11,10,15
4258.97,12,24,39
4261.00,15,11,15
4266.59,11,15,15
4266.61,10,21,15
4269.77,12,31,15
4270.20,10,20,15
4271.00,11,18,16
4271.43,10,12,15
4272.60,10,19,15
4273.27,10,16,15
4273.80,10,15,15
4275.98,10,13,15
4276.44,10,16,15
4277.52,10,15,15
4277.67,11,15,15
4278.03,13,20,15
4305.76,12,16,15
4306.54,12,10,15
4306.78,16,11,17
4306.82,11,14,16
4307.41,10,13,15
4314.09,10,8,15
4316.30,10,28,22
4553.78,10,17,30
4669.02,10,14,15
4675.27,10,18,15
4756.20,13,22,32
4820.23,10,9,15
4820.33,10,11,15
4820.49,10,8,15
4823.81,11,20,31
4824.26,12,28,15
4828.74,10,16,15
4832.73,11,18,16
4833.02,10,18,15
4833.32,13,18,15
4833.54,10,20,15
4833.69,11,12,15
4833.71,10,30,22
4833.83,11,21,31
4833.96,10,9,15
4834.20,12,22,26
4846.54,10,15,15
4846.77,10,23,15
4846.78,17,15,15
4846.84,11,27,60
4846.89,12,10,15
4846.92,10,13,15
4846.96,12,15,16
4847.44,14,13,32
4858.50,10,20,15
4858.70,10,28,15
4858.93,10,39,15
4860.15,12,11,31
4860.20,11,18,32
4860.37,11,25,33
4860.48,10,9,15
4860.62,10,29,15
4860.62,13,20,15
4860.69,18,12,15
4860.70,16,13,15
4860.73,11,9,15
4860.78,12,8,15
4860.93,12,9,15
4860.96,10,37,37
4860.97,10,11,17
4860.98,11,29,15
4861.07,11,22,15
4861.13,10,18,15
4861.44,11,10,15
5178.42,10,23,21
5462.44,12,19,19
5467.88,12,22,28
5797.78,12,45,82
5830.42,10,22,24
5910.85,10,10,15
